name,wc,n_fights,tier_label,tier_score,best_rank,ever_champion,max_defenses,dual_weight_champ,is_incumbent,win_rate,reach_cm,ko_rate,sig_per_r,sig_acc,str_def,leg_pct,clinch_pct,body_per_r,td_per_r,td_avg_acc,td_def,sub_rate,ctrl_per_r,gnp_per_r,pct_reach,pct_striking_power,pct_striking_volume,pct_striking_accuracy,pct_striking_defense,pct_leg_kicks,pct_clinch,pct_body,pct_td_frequency,pct_td_accuracy,pct_td_defense,pct_submission,pct_control,pct_ground_pound,x,y,z
Marco Ruas,Heavyweight,6,E,10,,False,0.0,False,False,0.6923076923076923,,0.1667,10.0,0.458,0.6463,0.65,0.05,0.3333333333333333,0.5,0.0,0.75,0.5,221.0,2.0,9.41,5.94,2.46,5.67,9.4,10.0,2.07,1.04,6.7,1.28,7.9,9.93,10.0,6.08,1.5181,1.6836,3.5541
Marcos Rogerio de Lima,Heavyweight,18,D,36,12.0,False,0.0,False,False,0.6875,190.5,0.3333,12.931,0.5962,0.5245,0.2427,0.0987,2.2413793103448274,0.3793,45.0,0.6667,0.1111,94.7931,3.0345,2.77,8.71,4.14,9.75,4.26,8.48,4.41,3.93,5.66,7.18,6.2,6.35,8.71,8.03,-0.0818,0.5422,-0.5148
Marcus Aurelio,Lightweight,6,E,10,,False,0.0,False,False,0.6875,187.96,0.1667,10.9286,0.3333,0.6018,0.0523,0.098,1.0,0.3571,27.0,0.3333,0.1667,38.6429,1.5,8.63,5.94,2.97,1.37,8.1,1.65,4.34,1.62,5.44,3.14,1.76,7.58,4.32,4.71,-0.032,0.3176,0.9163
Marcus Brimage,Featherweight,8,E,10,,False,0.0,False,False,0.5,180.34,0.125,17.7222,0.356,0.5666,0.1912,0.0564,4.611111111111111,0.1667,100.0,0.8,0.0,6.0,0.1111,5.99,4.77,7.07,1.7,6.41,6.99,2.36,8.29,3.1,9.91,8.62,3.07,1.21,1.16,-1.2894,-0.6361,-0.4508
Marcus Davis,Welterweight,15,E,12,,False,0.0,False,False,0.6666666666666666,177.8,0.2,11.4839,0.3973,0.657,0.1657,0.1882,2.096774193548387,0.4516,48.0,0.4783,0.2667,57.6452,1.5161,1.65,6.75,3.24,2.81,9.62,6.07,7.76,3.59,6.24,7.72,3.02,8.92,6.27,4.78,-0.159,1.097,0.2204
Marcus McGhee,Bantamweight,5,D,37,12.0,False,0.0,False,False,0.8333333333333334,175.26,0.4,23.9091,0.4519,0.5766,0.1521,0.038,3.8181818181818183,0.0909,14.0,0.9,0.2,15.7273,1.0,5.79,9.27,9.24,5.39,7.01,5.63,1.63,7.21,2.14,1.74,9.6,8.21,1.96,3.22,-1.7831,2.6818,0.6476
Marina Rodriguez,Women's Strawweight,15,C+,54,3.0,False,0.0,False,False,0.7391304347826086,165.1,0.1333,20.7609,0.4583,0.5593,0.1749,0.2398,5.130434782608695,0.0652,50.0,0.6119,0.0,15.5,1.587,7.64,4.94,8.39,5.69,6.02,6.43,8.8,8.83,1.83,8.05,5.02,3.07,1.93,4.94,-0.5306,-0.1506,-0.9413
Mario Bautista,Bantamweight,14,D+,43,8.0,False,0.0,False,False,0.8888888888888888,175.26,0.0714,24.1935,0.4896,0.5482,0.12,0.1253,6.612903225806452,0.5806,33.0,0.5577,0.2857,63.0968,1.3871,5.79,3.71,9.28,7.17,5.45,4.24,5.66,9.56,7.32,4.25,4.09,9.09,6.6,4.36,-0.4106,0.8665,1.3924
Marion Reneau,Women's Bantamweight,13,D+,44,6.0,False,0.0,False,False,0.5294117647058824,172.72,0.1538,15.1667,0.4165,0.5988,0.1245,0.1941,3.111111111111111,0.1944,63.0,0.5,0.1538,33.3889,2.25,7.41,5.57,5.55,3.75,8.02,4.47,7.88,5.83,3.46,9.31,3.27,7.29,3.67,6.67,0.219,0.6614,-0.2015
Mariya Agapova,Women's Flyweight,6,E,10,,False,0.0,False,False,0.6666666666666666,172.72,0.0,18.3636,0.5596,0.5436,0.0792,0.1535,5.090909090909091,0.1818,66.0,0.4667,0.3333,26.2727,3.1818,7.65,2.21,7.35,9.31,5.14,2.51,6.73,8.77,3.25,9.5,2.83,9.43,2.98,8.22,-0.2118,0.9939,-0.7003
