fighter,wc,tier_label,tier_weight,ever_champion,win_rate,n_rounds,cluster,distance_ratio,clinch_ratio,ground_ratio,head_ratio,body_ratio,leg_ratio,str_accuracy,td_per_round,td_accuracy,ctrl_per_round,sub_per_round,kd_per_round,output_per_round
Joseph Benavidez,Flyweight,C+,2.0,False,0.7,51,2,0.814498933901919,0.11833688699360341,0.06716417910447761,0.5383795309168443,0.25906183368869934,0.2025586353944563,0.3688556822650413,0.47058823529411764,0.3076923076923077,48.13725490196079,0.0784313725490196,0.11764705882352941,49.86274509803921
Josh Barnett,Heavyweight,B,3.0,True,0.7,21,1,0.3392857142857143,0.4362244897959184,0.22448979591836735,0.6326530612244898,0.29591836734693877,0.07142857142857142,0.6153846153846154,0.23809523809523808,0.625,82.80952380952381,0.23809523809523808,0.047619047619047616,30.333333333333332
Josh Culibao,Featherweight,E,0.0,False,0.375,22,2,0.888268156424581,0.055865921787709494,0.055865921787709494,0.6089385474860335,0.19832402234636873,0.19273743016759776,0.4475,0.0,0.0,18.90909090909091,0.09090909090909091,0.18181818181818182,36.36363636363637
Josh Emmett,Featherweight,C+,2.0,False,0.5882352941176471,45,4,0.8438709677419355,0.05548387096774193,0.10064516129032258,0.64,0.21161290322580645,0.14838709677419354,0.35763728657129673,0.3333333333333333,0.36585365853658536,22.466666666666665,0.022222222222222223,0.26666666666666666,48.15555555555556
Josh Fremd,Middleweight,E,0.0,False,0.3333333333333333,15,1,0.7803468208092486,0.16184971098265896,0.057803468208092484,0.48554913294797686,0.31213872832369943,0.2023121387283237,0.44473007712082263,0.2,0.25,64.06666666666666,0.3333333333333333,0.0,25.933333333333334
Josh Koscheck,Welterweight,D+,0.0,False,0.625,52,3,0.4766355140186916,0.10514018691588785,0.4182242990654206,0.7523364485981309,0.18691588785046728,0.06074766355140187,0.3617920540997464,0.7692307692307693,0.4819277108433735,106.38461538461539,0.1346153846153846,0.07692307692307693,22.75
Josh Neer,Welterweight,E,0.0,False,0.4,33,0,0.4693446088794926,0.2938689217758985,0.23678646934460887,0.7441860465116279,0.1522198731501057,0.10359408033826638,0.4466477809254013,0.30303030303030304,0.4166666666666667,59.39393939393939,0.3939393939393939,0.030303030303030304,32.09090909090909
Josh Parisian,Heavyweight,E,0.0,False,0.2857142857142857,16,1,0.7193548387096774,0.22258064516129034,0.05806451612903226,0.5903225806451613,0.31290322580645163,0.0967741935483871,0.4776579352850539,0.3125,0.3333333333333333,36.625,0.0,0.0,40.5625
Josh Thomson,Lightweight,C+,2.0,False,0.42857142857142855,18,1,0.649746192893401,0.18781725888324874,0.16243654822335024,0.49746192893401014,0.20812182741116753,0.29441624365482233,0.4310722100656455,0.6111111111111112,0.36666666666666664,67.38888888888889,0.0,0.1111111111111111,25.38888888888889
Joshua Burkman,Welterweight,E,0.0,False,0.3157894736842105,45,1,0.6703499079189686,0.2302025782688766,0.09944751381215469,0.47697974217311234,0.16758747697974216,0.35543278084714547,0.43614457831325304,0.7555555555555555,0.3695652173913043,68.02222222222223,0.08888888888888889,0.044444444444444446,27.666666666666668
